Date,NDWI
2013-04-16,158.88
2013-05-16,145.79
2013-06-16,127.28
2013-07-16,194.45
2013-08-16,190.67
2013-09-16,246.73
2013-11-16,288.98
2013-12-16,291.96
2014-01-16,271.26
2014-02-16,241.81
2014-03-16,213.30
2014-04-16,146.80
2014-05-16,171.87
2014-06-16,173.04
2014-07-16,56.38
2014-08-16,151.88
2014-09-16,247.38
2014-11-16,216.04
2014-12-16,214.67
2015-01-16,215.46
2015-02-16,208.24
2015-03-16,202.72
2015-04-16,185.60
2015-05-16,166.66
2015-06-16,171.13
2015-07-16,160.37
2015-08-16,149.60
2015-09-16,170.52
2015-11-16,156.98
2015-12-16,161.39
2016-01-16,174.68
2016-02-16,158.38
2016-03-16,152.12
2016-04-16,138.15
2016-05-16,136.66
2016-06-16,126.34
2016-07-16,116.01
2016-08-16,177.62
2016-09-16,239.24
2016-11-16,327.53
2016-12-16,313.15
2017-01-16,293.20
2017-02-16,281.42
2017-03-16,254.78
2017-04-16,236.59
2017-05-16,190.10
2017-06-16,187.86
2017-07-16,180.17
2017-08-16,270.58
2017-09-16,289.75
2017-11-16,331.46
2017-12-16,340.41
2018-01-16,317.77
2018-03-16,270.20
2018-04-16,230.40
2018-05-16,194.61
2018-06-16,190.14
2018-07-16,194.45
2018-08-16,190.67
2018-09-16,246.73
2018-11-16,183.68
2018-12-16,180.01
2019-01-16,174.52
2019-02-16,166.81
2019-03-16,154.70
2019-04-16,146.70
2019-05-16,163.12
2019-06-16,152.81
2019-07-16,142.50
2019-08-16,127.10
2019-09-16,111.70
2019-11-16,142.14
2019-12-16,135.28
2020-01-16,125.47
2020-02-16,118.42
2020-03-16,109.94
2020-04-16,102.02
2020-05-16,95.82
2020-06-16,105.75
2020-07-16,105.94
2020-08-16,52.97
2020-11-16,247.51
2020-12-16,246.76
2021-01-16,232.82
2021-02-16,231.65
2021-03-16,205.34
2021-04-16,165.02
2021-05-16,191.86
2021-06-16,187.86
2021-07-16,194.45
2021-08-16,190.67
2021-09-16,246.73
