Date,NDWI
2013-04-16,24.06
2013-05-16,25.07
2013-06-16,26.08
2013-07-16,19.46
2013-08-16,30.44
2013-09-16,32.22
2013-11-16,31.61
2013-12-16,32.28
2014-01-16,30.86
2014-02-16,31.05
2014-03-16,20.71
2014-04-16,7.48
2014-05-16,28.10
2014-06-16,29.23
2014-07-16,30.87
2014-08-16,30.44
2014-09-16,33.18
2014-11-16,30.42
2014-12-16,29.27
2015-01-16,29.73
2015-02-16,31.16
2015-03-16,28.62
2015-04-16,25.93
2015-05-16,23.51
2015-06-16,29.23
2015-07-16,30.87
2015-08-16,28.11
2015-09-16,21.90
2015-11-16,30.79
2015-12-16,29.64
2016-01-16,31.23
2016-02-16,26.76
2016-03-16,21.17
2016-04-16,15.92
2016-05-16,22.64
2016-06-16,18.78
2016-07-16,30.87
2016-08-16,30.44
2016-09-16,32.22
2016-11-16,31.01
2016-12-16,31.27
2017-01-16,32.72
2017-02-16,33.44
2017-03-16,28.39
2017-04-16,24.82
2017-05-16,11.77
2017-06-16,29.23
2017-07-16,30.87
2017-08-16,34.68
2017-09-16,32.23
2017-11-16,195.18
2017-12-16,200.23
2018-01-16,216.44
2018-02-16,222.20
2018-03-16,212.94
2018-04-16,218.04
2018-05-16,26.67
2018-06-16,29.23
2018-07-16,30.87
2018-08-16,30.44
2018-09-16,247.35
2018-11-16,240.56
2018-12-16,233.42
2019-01-16,222.76
2019-02-16,252.76
2019-03-16,264.28
2019-04-16,269.08
2019-05-16,244.21
2019-06-16,219.34
2019-07-16,30.87
2019-08-16,30.44
2019-09-16,32.22
2019-11-16,274.42
2019-12-16,270.37
2020-01-16,255.75
2020-02-16,272.64
2020-03-16,267.61
2020-04-16,201.94
2020-05-16,239.75
2020-06-16,234.38
2020-07-16,229.02
2020-08-16,257.15
2020-09-16,285.29
2020-11-16,271.64
2020-12-16,219.64
2021-01-16,238.19
2021-02-16,377.74
2021-03-16,262.80
2021-04-16,269.24
2021-05-16,269.73
2021-06-16,270.21
2021-07-16,30.87
2021-08-16,30.44
2021-09-16,32.22
