Date,NDWI
2013-04-16,210.14
2013-05-16,119.43
2013-06-16,28.71
2013-07-16,191.42
2013-08-16,354.13
2013-09-16,85.62
2013-11-16,368.85
2013-12-16,381.55
2014-01-16,402.70
2014-02-16,373.86
2014-03-16,333.54
2014-04-16,129.34
2014-05-16,125.03
2014-06-16,221.67
2014-07-16,318.32
2014-08-16,373.02
2014-09-16,386.74
2014-11-16,395.99
2014-12-16,396.92
2015-01-16,388.62
2015-02-16,371.31
2015-03-16,315.18
2015-04-16,272.49
2015-05-16,230.50
2015-06-16,170.42
2015-07-16,142.44
2015-08-16,207.75
2015-09-16,360.26
2015-11-16,386.57
2015-12-16,367.62
2016-01-16,206.35
2016-02-16,340.68
2016-03-16,298.50
2016-04-16,265.48
2016-05-16,133.47
2016-06-16,185.97
2016-07-16,105.94
2016-08-16,254.86
2016-09-16,18.89
2016-11-16,293.14
2016-12-16,390.61
2017-01-16,300.34
2017-02-16,372.97
2017-03-16,338.38
2017-04-16,303.79
2017-05-16,248.67
2017-06-16,211.31
2017-07-16,105.94
2017-08-16,254.86
2017-09-16,18.89
2017-11-16,396.24
2017-12-16,394.00
2018-01-16,385.42
2018-02-16,368.37
2018-03-16,312.34
2018-04-16,276.22
2018-05-16,216.16
2018-06-16,6.71
2018-07-16,105.94
2018-08-16,254.86
2018-09-16,451.98
2018-11-16,379.85
2018-12-16,368.49
2019-01-16,346.45
2019-02-16,275.52
2019-03-16,279.32
2019-04-16,227.37
2019-05-16,92.11
2019-06-16,94.11
2019-07-16,96.10
2019-08-16,252.59
2019-09-16,409.09
2019-11-16,432.58
2019-12-16,385.83
2020-01-16,365.92
2020-02-16,288.02
2020-03-16,313.64
2020-04-16,100.58
2020-05-16,185.59
2020-06-16,141.64
2020-07-16,102.76
2020-08-16,91.87
2020-09-16,80.99
2020-11-16,333.95
2020-12-16,329.67
2021-01-16,317.57
2021-02-16,287.98
2021-03-16,256.27
2021-04-16,138.60
2021-05-16,112.30
2021-06-16,115.60
2021-07-16,105.94
2021-08-16,254.86
2021-09-16,18.89
