Date,NDWI
2013-04-16,40.04
2013-05-16,45.29
2013-06-16,45.73
2013-11-16,52.62
2013-12-16,49.99
2014-01-16,45.92
2014-02-16,46.64
2014-03-16,43.77
2014-04-16,24.93
2014-05-16,43.38
2014-09-16,50.56
2014-11-16,48.14
2014-12-16,48.99
2015-01-16,48.05
2015-02-16,43.08
2015-03-16,41.04
2015-04-16,42.04
2015-05-16,42.53
2015-06-16,43.01
2015-07-16,44.68
2015-08-16,46.35
2015-09-16,42.01
2015-11-16,42.21
2015-12-16,44.01
2016-01-16,38.97
2016-02-16,40.00
2016-03-16,37.39
2016-04-16,37.76
2016-05-16,37.56
2016-06-16,36.64
2016-07-16,43.92
2016-11-16,43.92
2016-12-16,50.50
2017-01-16,44.95
2017-02-16,48.62
2017-03-16,45.37
2017-04-16,33.66
2017-05-16,37.59
2017-06-16,46.16
2017-07-16,52.61
2017-08-16,59.06
2017-09-16,52.39
2017-11-16,41.80
2017-12-16,49.31
2018-01-16,49.24
2018-02-16,47.45
2018-03-16,40.53
2018-04-16,37.30
2018-08-16,31.23
2018-09-16,50.09
2018-11-16,42.74
2018-12-16,42.94
2019-01-16,40.53
2019-02-16,43.30
2019-03-16,38.17
2019-04-16,42.55
2019-05-16,41.35
2019-06-16,36.74
2019-09-16,48.60
2019-11-16,45.72
2019-12-16,45.62
2020-01-16,46.19
2020-02-16,45.56
2020-03-16,44.62
2020-04-16,32.73
2020-05-16,40.49
2020-06-16,28.58
2020-08-16,39.89
2020-09-16,33.55
2020-11-16,49.09
2020-12-16,49.46
2021-01-16,44.53
2021-02-16,43.58
2021-03-16,41.25
2021-04-16,42.84
2021-05-16,43.99
2021-08-16,31.23
